Ref,Val,Package,PosX,PosY,Rot,Side
"R1","75","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-93.940000,-88.190000,90.000000,bottom
"R2","75","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-102.920000,-88.200000,90.000000,bottom
"R3","75","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-129.450000,-88.210000,90.000000,bottom
"R4","75","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-138.380000,-88.210000,90.000000,bottom
"R5","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-93.890000,-79.680000,90.000000,bottom
"R6","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-102.915713,-79.680000,90.000000,bottom
"R7","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-129.400000,-79.700000,90.000000,bottom
"R8","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-138.360000,-79.700000,90.000000,bottom
"U1","LM324","SOIC-14_3.9x8.7mm_P1.27mm",-116.175000,-84.080000,180.000000,bottom
"D1","LED","LED_D3.0mm",90.825000,-88.220000,180.000000,top
"D2","LED","LED_D3.0mm",108.575000,-88.220000,180.000000,top
"D3","LED","LED_D3.0mm",126.325000,-88.220000,180.000000,top
"D4","LED","LED_D3.0mm",144.075000,-88.220000,180.000000,top
"D5","D_Photo","LED_D5.0mm",89.540000,-78.445000,-90.000000,top
"D6","D_Photo","LED_D5.0mm",107.290000,-78.445000,-90.000000,top
"D7","D_Photo","LED_D5.0mm",125.040000,-78.445000,-90.000000,top
"D8","D_Photo","LED_D5.0mm",142.790000,-78.445000,-90.000000,top
"J1","Conn_01x06_Male","PinSocket_1x06_P2.54mm_Vertical",109.845000,-73.585000,90.000000,top
